bee	tracked_distance	meandering	resting_prop	mean_mov_prop	fast_mov_prop	degree	group_density_network	polarized_prop	milling_prop	swarm_prop	transitional_prop
melipona	2780.730631	772.29677	0.373302536	0.617086548	0.009610915	10079.66667	2015.933333	0.003000556	0.274310057	0.003667346	0.719022041
melipona	5920.377426	363.5610697	0.294990932	0.667648423	0.037360644	11072.66667	2214.533333	0.002851957	0.28375125	0.002740842	0.71065595
melipona	15434.70911	143.4120523	0.370269368	0.534192732	0.095537901	9224	1844.8	0.003074188	0.257416941	0.00325938	0.736249491
melipona	7750.10102	277.8120215	0.193694594	0.750139184	0.056166222	9292.666667	1858.533333	0.002778086	0.274437901	0.00255584	0.720228174
melipona	5796.33835	417.1048732	0.55366664	0.400946514	0.045386846	10680.33333	2136.066667	0.01408503	0.246989743	0.006392151	0.732533076
melipona	2134.763823	636.9950537	0.442364717	0.537109913	0.02052537	36595.33333	7319.066667	0.023431741	0.146293207	0.015323738	0.814951313
melipona	3736.485804	328.6521227	0.064096893	0.905539366	0.03036374	25772.33333	5154.466667	0.039626581	0.105250719	0.011935242	0.843187458
melipona	766.0168367	1406.812119	0.999913558	4.32208E-05	4.32208E-05	35629.66667	7125.933333	0.012085358	0.169490809	0.005155293	0.81326854
melipona	899.2960605	2321.736219	0.858912391	0.138647561	0.002440048	3073	614.6	0.006447788	0.203031201	0.011079819	0.779441192
melipona	888.5657965	2265.877506	0.715410374	0.283811666	0.00077796	9464.333333	1892.866667	0.008421756	0.23031832	0.008607257	0.752652668
melipona	723.162642	1411.838365	0.997791464	0.001446435	0.0007621	33333	6666.6	0.037810195	0.086728706	0.012910798	0.862550302
melipona	4945.756693	789.1530571	0.89424448	0.035021389	0.070734131	45835	9167	0.028673973	0.075409077	0.014857981	0.881058969
melipona	1609.223719	1329.282466	0.613356485	0.383039937	0.003603577	5756	1151.2	0.003334074	0.234014966	0.008261095	0.754389864
melipona	487.1106492	4063.38135	0.905289268	0.094575579	0.000135153	8117	1623.4	0.005793657	0.226398277	0.00820768	0.759600386
melipona	1355.566621	1399.176865	0.733770177	0.259677162	0.006552661	6481	1296.2	0.012583798	0.185611026	0.011123179	0.790681997
melipona	388.2876707	5532.496587	0.898950558	0.10085424	0.000195202	4210.333333	842.0666667	0.017374517	0.158152658	0.020158895	0.804313929
melipona	3587.54622	550.1954377	0.431492764	0.540070706	0.02843653	3818.333333	763.6666667	0.00733442	0.27200326	0.002259594	0.718402726
melipona	645.5646283	3477.838169	0.868914711	0.128773111	0.002312178	7058.666667	1411.733333	0.010062612	0.170840787	0.013826774	0.805269827
melipona	3259.476537	687.1628501	0.278761032	0.71777992	0.003459049	5631.666667	1126.333333	0.000740768	0.369013667	0.001074114	0.629171451
melipona	1954.52769	1071.921865	0.657602275	0.337008678	0.005389047	6297.666667	1259.533333	0.005002038	0.226536737	0.007484531	0.760976694
melipona	9504.483331	251.1029507	0.061532982	0.915052366	0.023414652	7724	1544.8	0.000185192	0.388384755	0.000481499	0.610948554
melipona	3766.201319	450.5631601	0.439721918	0.543257226	0.017020856	16144.33333	3228.866667	0.009388972	0.223919523	0.007600596	0.759090909
melipona	658.9880988	2829.243277	0.877628784	0.120146948	0.002224268	12598.66667	2519.733333	0.008867693	0.217631059	0.010730653	0.762770595
melipona	5653.005172	419.6466214	0.106357108	0.880598915	0.013043976	10598	2119.6	0.000296307	0.299492574	0.001000037	0.699211082
melipona	1397.14383	1330.299949	0.798250342	0.19192338	0.009826278	19678.66667	3935.733333	0.020868465	0.122048904	0.012183811	0.84489882
partamona	1049.067836	1567.47316	0.445299484	0.541406471	0.013294044	9270	2317.5	0.002389022	0.245013612	0.005611423	0.746985944
partamona	1147.422063	1363.494598	0.32943947	0.659415221	0.011145309	4527.6	1131.9	0.004889976	0.275005557	0.005945766	0.714158702
partamona	325.3699191	4959.334662	0.757008385	0.242032032	0.000959583	9630.8	2407.7	0.004278015	0.199733319	0.007833769	0.788154897
partamona	1787.707422	961.6899336	0.276837565	0.675311591	0.047850844	1759.6	439.9	0.001166731	0.315628646	0.001500083	0.681704539
partamona	1231.708665	1341.047474	0.363169545	0.620919806	0.015910649	6234.4	1558.6	0.001833435	0.261236735	0.003833546	0.733096283
partamona	477.219362	4246.91803	0.673428361	0.32113124	0.0054404	6148.4	1537.1	0.002666815	0.233957442	0.006167009	0.757208734
partamona	676.0777011	2158.986658	0.496759612	0.489629509	0.013610879	17004.4	4251.1	0.012838326	0.148946813	0.017062191	0.82115267
partamona	1652.659118	1002.147442	0.10665121	0.863654097	0.029694693	2371.6	592.9	0.000611145	0.313850769	0.001833435	0.68370465
partamona	370.839027	5695.067195	0.765858906	0.229464387	0.004676707	6412.4	1603.1	0.002500278	0.218302034	0.00866763	0.770530059
partamona	916.3983173	1653.537168	0.325053605	0.659695955	0.01525044	15550.4	3887.6	0.007722651	0.204955831	0.006333685	0.780987833
partamona	1035.796172	1523.012595	0.37825946	0.599416423	0.022324117	12815.6	3203.9	0.004166898	0.226012556	0.006667037	0.763153509
partamona	1060.425146	2335.790001	0.401399506	0.543017216	0.055583279	5016.8	1254.2	0.000944497	0.295071948	0.002666815	0.70131674
